s,C,m,mol/mol
Time,"temperature","visibility","CO"
 0.0000000E+000, 2.0000000E+001, 3.0000000E+001, 0.0000000E+000
 6.3245553E-002, 2.0000000E+001, 3.0000000E+001, 0.0000000E+000
 1.2649111E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 1.8973666E-001, 1.9999981E+001, 3.0000000E+001, 0.0000000E+000
 2.5298221E-001, 1.9999983E+001, 3.0000000E+001, 0.0000000E+000
 3.1622777E-001, 1.9999984E+001, 3.0000000E+001, 0.0000000E+000
 3.7947332E-001, 1.9999985E+001, 3.0000000E+001, 0.0000000E+000
 4.4271887E-001, 1.9999987E+001, 3.0000000E+001, 0.0000000E+000
 5.0596443E-001, 1.9999988E+001, 3.0000000E+001, 0.0000000E+000
 5.6920998E-001, 1.9999989E+001, 3.0000000E+001, 0.0000000E+000
 6.0560547E-001, 1.9999989E+001, 3.0000000E+001, 0.0000000E+000
 6.4200096E-001, 1.9999990E+001, 3.0000000E+001, 0.0000000E+000
 6.8203600E-001, 1.9999990E+001, 3.0000000E+001, 0.0000000E+000
 7.2207104E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 7.4997486E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 7.7787868E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 8.0857288E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 8.3494927E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 8.6132567E-001, 1.9999991E+001, 3.0000000E+001, 0.0000000E+000
 8.8770206E-001, 2.0000015E+001, 3.0000000E+001, 2.4303927E-079
 9.1120344E-001, 2.0000037E+001, 3.0000000E+001, 2.7083277E-076
 9.3470481E-001, 2.0000058E+001, 3.0000000E+001, 4.5839756E-074
 9.5820619E-001, 2.0000086E+001, 3.0000000E+001, 4.3645132E-072
 9.8170757E-001, 2.0000113E+001, 3.0000000E+001, 3.2072111E-070
 1.0021263E+000, 2.0000136E+001, 3.0000000E+001, 1.2985212E-068
 1.0225451E+000, 2.0000161E+001, 3.0000000E+001, 4.0591751E-067
 1.0429639E+000, 2.0000185E+001, 3.0000000E+001, 1.0654834E-065
 1.0633826E+000, 2.0000209E+001, 3.0000000E+001, 2.4934530E-064
 1.0790928E+000, 2.0000253E+001, 3.0000000E+001, 3.5796503E-063
 1.0948029E+000, 2.0000295E+001, 3.0000000E+001, 4.8096072E-062
 1.1120840E+000, 2.0000343E+001, 3.0000000E+001, 6.8347029E-061
 1.1293652E+000, 2.0000406E+001, 3.0000000E+001, 8.7662214E-060
 1.1466463E+000, 2.0000469E+001, 3.0000000E+001, 1.0190798E-058
 1.1606256E+000, 2.0000520E+001, 3.0000000E+001, 8.0502870E-058
 1.1746049E+000, 2.0001370E+001, 3.0000000E+001, 6.0135975E-057
 1.1885841E+000, 2.0002220E+001, 3.0000000E+001, 4.3004237E-056
 1.2025634E+000, 2.0003070E+001, 3.0000000E+001, 2.9527258E-055
 1.2165427E+000, 2.0003939E+001, 3.0000000E+001, 1.9598740E-054
 1.2281983E+000, 2.0004664E+001, 3.0000000E+001, 1.0041746E-053
 1.2398539E+000, 2.0005389E+001, 3.0000000E+001, 5.0132448E-053
 1.2515096E+000, 2.0006124E+001, 3.0000000E+001, 2.4429062E-052
 1.2631652E+000, 2.0006859E+001, 3.0000000E+001, 1.1592622E-051
 1.2748209E+000, 2.0007594E+001, 3.0000000E+001, 5.3521106E-051
 1.2864765E+000, 2.0008423E+001, 3.0000000E+001, 2.4111943E-050
 1.2981321E+000, 2.0009251E+001, 3.0000000E+001, 1.0614498E-049
 1.3097878E+000, 2.0010080E+001, 3.0000000E+001, 4.5703558E-049
 1.3199591E+000, 2.0010842E+001, 3.0000000E+001, 1.6633162E-048
 1.3301305E+000, 2.0011604E+001, 3.0000000E+001, 5.9401467E-048
 1.3403019E+000, 2.0012366E+001, 3.0000000E+001, 2.0844888E-047
 1.3504732E+000, 2.0013416E+001, 3.0000000E+001, 7.2231382E-047
 1.3590520E+000, 2.0014301E+001, 3.0000000E+001, 2.0996383E-046
 1.3676308E+000, 2.0015187E+001, 3.0000000E+001, 6.0284973E-046
 1.3762096E+000, 2.0016086E+001, 3.0000000E+001, 1.7130270E-045
 1.3847884E+000, 2.0016985E+001, 3.0000000E+001, 4.8534152E-045
 1.3933672E+000, 2.0017884E+001, 3.0000000E+001, 1.3703445E-044
 1.4019459E+000, 2.0018794E+001, 3.0000000E+001, 3.8528662E-044
 1.4113826E+000, 2.0019795E+001, 3.0000000E+001, 1.1782445E-043
 1.4208193E+000, 2.0020796E+001, 3.0000000E+001, 3.6042810E-043
 1.4302559E+000, 2.0021849E+001, 3.0000000E+001, 1.1072461E-042
 1.4396926E+000, 2.0022903E+001, 3.0000000E+001, 3.4212410E-042
 1.4491293E+000, 2.0023958E+001, 3.0000000E+001, 1.0641823E-041
 1.4572204E+000, 2.0024929E+001, 3.0000000E+001, 2.8997086E-041
 1.4653116E+000, 2.0025901E+001, 3.0000000E+001, 7.9333268E-041
 1.4734027E+000, 2.0026874E+001, 3.0000000E+001, 2.1776107E-040
 1.4814938E+000, 2.0027888E+001, 3.0000000E+001, 5.9953043E-040
 1.4895850E+000, 2.0028903E+001, 3.0000000E+001, 1.6556132E-039
 1.4976761E+000, 2.0029918E+001, 3.0000000E+001, 4.5627656E-039
 1.5057673E+000, 2.0030947E+001, 3.0000000E+001, 1.2553075E-038
 1.5138584E+000, 2.0031976E+001, 3.0000000E+001, 3.4317640E-038
 1.5219495E+000, 2.0033006E+001, 3.0000000E+001, 9.2897222E-038
 1.5300407E+000, 2.0034044E+001, 3.0000000E+001, 2.4910423E-037
 1.5381318E+000, 2.0035082E+001, 3.0000000E+001, 6.6439679E-037
 1.5462230E+000, 2.0036121E+001, 3.0000000E+001, 1.7655713E-036
 1.5543141E+000, 2.0037161E+001, 3.0000000E+001, 4.6984739E-036
 1.5632144E+000, 2.0038306E+001, 3.0000000E+001, 1.3774282E-035
 1.5721146E+000, 2.0039451E+001, 3.0000000E+001, 4.1215881E-035
 1.5810149E+000, 2.0040581E+001, 3.0000000E+001, 1.2715346E-034
 1.5899151E+000, 2.0041712E+001, 3.0000000E+001, 4.0574711E-034
 1.5988154E+000, 2.0042844E+001, 3.0000000E+001, 1.3301183E-033
 1.6077156E+000, 2.0043843E+001, 3.0000000E+001, 4.5065785E-033
 1.6155572E+000, 2.0044724E+001, 3.0000000E+001, 1.3753015E-032
 1.6233988E+000, 2.0045606E+001, 3.0000000E+001, 4.1963236E-032
 1.6312404E+000, 2.0046507E+001, 3.0000000E+001, 1.3030831E-031
 1.6390820E+000, 2.0047408E+001, 3.0000000E+001, 4.0381164E-031
 1.6469236E+000, 2.0048310E+001, 3.0000000E+001, 1.2511609E-030
 1.6547651E+000, 2.0049213E+001, 3.0000000E+001, 3.8615492E-030
 1.6626067E+000, 2.0050116E+001, 3.0000000E+001, 1.1608371E-029
 1.6704483E+000, 2.0051019E+001, 3.0000000E+001, 3.6310017E-029
 1.6782899E+000, 2.0051894E+001, 3.0000000E+001, 1.1667792E-028
 1.6861315E+000, 2.0052767E+001, 3.0000000E+001, 3.4756280E-028
 1.6939731E+000, 2.0053639E+001, 3.0000000E+001, 1.0514266E-027
 1.7018146E+000, 2.0054488E+001, 3.0000000E+001, 3.0647190E-027
 1.7096562E+000, 2.0055335E+001, 3.0000000E+001, 7.9415788E-027
 1.7174978E+000, 2.0056178E+001, 3.0000000E+001, 2.1797995E-026
 1.7261235E+000, 2.0057050E+001, 3.0000000E+001, 6.7973891E-026
 1.7347493E+000, 2.0057915E+001, 3.0000000E+001, 1.7261990E-025
 1.7433750E+000, 2.0058772E+001, 3.0000000E+001, 4.7076139E-025
 1.7520008E+000, 2.0059618E+001, 3.0000000E+001, 1.3872343E-024
 1.7606265E+000, 2.0060452E+001, 3.0000000E+001, 2.7936383E-024
 1.7692523E+000, 2.0061269E+001, 3.0000000E+001, 6.9003483E-024
 1.7778780E+000, 2.0062072E+001, 3.0000000E+001, 1.3349507E-023
 1.7865037E+000, 2.0062853E+001, 3.0000000E+001, 2.1566009E-023
 1.7951295E+000, 2.0063610E+001, 3.0000000E+001, 9.0927705E-023
 1.8037552E+000, 2.0064343E+001, 3.0000000E+001, 6.9467049E-022
 1.8123810E+000, 2.0065043E+001, 3.0000000E+001, 5.7437258E-021
 1.8210067E+000, 2.0065707E+001, 3.0000000E+001, 4.3936559E-020
 1.8296324E+000, 2.0066326E+001, 3.0000000E+001, 3.4995282E-019
 1.8382582E+000, 2.0066883E+001, 3.0000000E+001, 2.7667090E-018
 1.8468839E+000, 2.0067377E+001, 3.0000000E+001, 2.1189182E-017
 1.8555097E+000, 2.0067758E+001, 3.0000000E+001, 1.6443169E-016
 1.8641354E+000, 2.0068050E+001, 3.0000000E+001, 1.1879054E-015
 1.8727612E+000, 2.0068245E+001, 3.0000000E+001, 9.0972842E-015
 1.8813869E+000, 2.0068190E+001, 3.0000000E+001, 6.1382333E-014
 1.8900126E+000, 2.0068078E+001, 3.0000000E+001, 5.5161357E-013
 1.8986384E+000, 2.0068060E+001, 3.0000000E+001, 4.5004450E-012
 1.9072641E+000, 2.0068606E+001, 3.0000000E+001, 3.8864527E-011
 1.9158899E+000, 2.0069831E+001, 3.0000000E+001, 3.9653615E-010
 1.9245156E+000, 2.0072077E+001, 3.0000000E+001, 2.2810089E-009
 1.9331413E+000, 2.0089347E+001, 3.0000000E+001, 2.8063242E-008
 1.9417671E+000, 2.0174346E+001, 3.0000000E+001, 1.5360090E-007
 1.9503928E+000, 2.0721906E+001, 3.0000000E+001, 1.0655272E-006
 1.9590186E+000, 2.4865141E+001, 1.6807622E+001, 7.1673773E-006
 1.9676443E+000, 3.3684867E+001, 6.2059295E+000, 1.9986009E-005
 1.9762701E+000, 4.9783566E+001, 3.0142639E+000, 4.3307203E-005
 1.9848958E+000, 7.1510293E+001, 1.8797520E+000, 7.4117185E-005
 1.9935215E+000, 9.5969089E+001, 1.3688449E+000, 1.0900351E-004
 2.0021473E+000, 1.2028929E+002, 1.1102916E+000, 1.4324151E-004
 2.0107730E+000, 1.3914513E+002, 9.8284689E-001, 1.6957060E-004
 2.0193988E+000, 1.5187729E+002, 9.1710671E-001, 1.8733769E-004
 2.0280245E+000, 1.6030469E+002, 8.8095904E-001, 1.9889149E-004
 2.0366502E+000, 1.6466689E+002, 8.6433544E-001, 2.0475683E-004
 2.0452760E+000, 1.6685334E+002, 8.5605733E-001, 2.0776928E-004
 2.0530039E+000, 1.6763064E+002, 8.5479302E-001, 2.0844417E-004
 2.0607318E+000, 1.6741729E+002, 8.5636128E-001, 2.0796174E-004
 2.0684598E+000, 1.6697368E+002, 8.5860446E-001, 2.0720957E-004
 2.0761877E+000, 1.6668925E+002, 8.6177379E-001, 2.0631410E-004
 2.0839156E+000, 1.6631813E+002, 8.6568226E-001, 2.0520932E-004
 2.0916435E+000, 1.6648920E+002, 8.6808005E-001, 2.0472216E-004
 2.0993714E+000, 1.6848528E+002, 8.6274033E-001, 2.0692448E-004
 2.1070994E+000, 1.7104880E+002, 8.5167969E-001, 2.1082849E-004
 2.1156001E+000, 1.7309935E+002, 8.4142692E-001, 2.1438254E-004
 2.1241008E+000, 1.7386718E+002, 8.3718586E-001, 2.1583931E-004
 2.1326015E+000, 1.7310978E+002, 8.3842521E-001, 2.1515509E-004
 2.1419523E+000, 1.6946392E+002, 8.5137738E-001, 2.1015086E-004
 2.1513031E+000, 1.6488549E+002, 8.7037622E-001, 2.0343726E-004
 2.1606538E+000, 1.6311877E+002, 8.7725322E-001, 2.0102838E-004
 2.1700046E+000, 1.6318485E+002, 8.7733471E-001, 2.0104015E-004
 2.1793554E+000, 1.7192477E+002, 8.3895326E-001, 2.1444870E-004
 2.1887062E+000, 1.8551764E+002, 7.8301911E-001, 2.3678487E-004
 2.1980570E+000, 1.9998882E+002, 7.3534634E-001, 2.6009072E-004
 2.2074078E+000, 2.0681627E+002, 7.1244244E-001, 2.7232603E-004
 2.2167586E+000, 2.1239493E+002, 6.9844886E-001, 2.8101081E-004
 2.2261093E+000, 2.1263432E+002, 6.9548374E-001, 2.8234801E-004
 2.2354601E+000, 2.0628373E+002, 7.1169885E-001, 2.7230809E-004
 2.2448109E+000, 1.8929134E+002, 7.6670418E-001, 2.4381310E-004
 2.2541617E+000, 1.6429224E+002, 8.6447745E-001, 2.0454801E-004
 2.2635125E+000, 1.4976790E+002, 9.3022754E-001, 1.8377866E-004
 2.2728633E+000, 1.4120227E+002, 9.8141606E-001, 1.7066512E-004
 2.2822140E+000, 1.3611707E+002, 1.0169340E+000, 1.6268302E-004
 2.2915648E+000, 1.3032414E+002, 1.0523611E+000, 1.5498124E-004
 2.3009156E+000, 1.2642696E+002, 1.0789582E+000, 1.4970077E-004
 2.3102664E+000, 1.2311371E+002, 1.1047706E+000, 1.4499079E-004
 2.3196172E+000, 1.2734621E+002, 1.0746546E+000, 1.5064604E-004
 2.3289680E+000, 1.3361273E+002, 1.0313685E+000, 1.5942466E-004
 2.3383187E+000, 1.3762271E+002, 1.0055783E+000, 1.6512540E-004
 2.3476695E+000, 1.3957844E+002, 9.9326818E-001, 1.6796782E-004
 2.3570203E+000, 1.4124266E+002, 9.8413168E-001, 1.7021078E-004
 2.3663711E+000, 1.4258704E+002, 9.7595471E-001, 1.7219371E-004
 2.3757219E+000, 1.4280316E+002, 9.7234165E-001, 1.7292340E-004
 2.3850727E+000, 1.4308640E+002, 9.7123923E-001, 1.7323756E-004
 2.3944234E+000, 1.4387278E+002, 9.6774004E-001, 1.7419243E-004
 2.4037742E+000, 1.4453239E+002, 9.6429592E-001, 1.7509109E-004
 2.4131250E+000, 1.4356798E+002, 9.6980164E-001, 1.7369509E-004
 2.4224758E+000, 1.4077154E+002, 9.8472461E-001, 1.6991489E-004
 2.4318266E+000, 1.3941527E+002, 9.9159608E-001, 1.6818454E-004
 2.4411774E+000, 1.3933543E+002, 9.9108315E-001, 1.6823902E-004
 2.4505282E+000, 1.4119358E+002, 9.7967109E-001, 1.7096552E-004
 2.4598789E+000, 1.4432793E+002, 9.6249525E-001, 1.7533279E-004
 2.4692297E+000, 1.4766638E+002, 9.4530925E-001, 1.7994797E-004
 2.4785805E+000, 1.5206765E+002, 9.2304286E-001, 1.8621627E-004
 2.4879313E+000, 1.5444989E+002, 9.1182204E-001, 1.8956393E-004
 2.4972821E+000, 1.5781050E+002, 8.9567816E-001, 1.9449735E-004
 2.5066329E+000, 1.5965927E+002, 8.8682593E-001, 1.9728151E-004
 2.5159836E+000, 1.5990713E+002, 8.8503871E-001, 1.9779310E-004
 2.5253344E+000, 1.5937535E+002, 8.8667879E-001, 1.9718481E-004
 2.5346852E+000, 1.5798783E+002, 8.9064620E-001, 1.9567670E-004
 2.5440360E+000, 1.5608544E+002, 8.9730194E-001, 1.9336826E-004
 2.5533868E+000, 1.5393639E+002, 9.0629626E-001, 1.9049069E-004
 2.5627376E+000, 1.5069400E+002, 9.2099991E-001, 1.8602644E-004
 2.5720883E+000, 1.4594790E+002, 9.4401910E-001, 1.7945804E-004
 2.5814391E+000, 1.4115754E+002, 9.7024495E-001, 1.7261147E-004
 2.5907899E+000, 1.3689787E+002, 9.9377634E-001, 1.6679158E-004
 2.6001407E+000, 1.3311056E+002, 1.0148220E+000, 1.6182403E-004
 2.6094915E+000, 1.3032630E+002, 1.0313311E+000, 1.5814234E-004
 2.6188423E+000, 1.2852344E+002, 1.0415750E+000, 1.5588731E-004
 2.6281931E+000, 1.2749547E+002, 1.0462871E+000, 1.5478811E-004
 2.6375438E+000, 1.2692454E+002, 1.0468847E+000, 1.5447930E-004
 2.6468946E+000, 1.2635451E+002, 1.0473369E+000, 1.5419258E-004
 2.6562454E+000, 1.2532486E+002, 1.0526393E+000, 1.5302047E-004
 2.6655962E+000, 1.2414814E+002, 1.0602281E+000, 1.5147656E-004
 2.6749470E+000, 1.2159183E+002, 1.0773092E+000, 1.4811566E-004
 2.6832617E+000, 1.1754943E+002, 1.1086186E+000, 1.4245865E-004
 2.6915764E+000, 1.1179969E+002, 1.1601909E+000, 1.3412284E-004
 2.6998912E+000, 1.0578028E+002, 1.2243616E+000, 1.2510591E-004
 2.7082059E+000, 9.9682363E+001, 1.2978763E+000, 1.1612040E-004
 2.7165206E+000, 9.3510241E+001, 1.3837457E+000, 1.0711142E-004
 2.7248353E+000, 8.7632987E+001, 1.4805958E+000, 9.8500345E-005
 2.7331501E+000, 8.2344615E+001, 1.5837138E+000, 9.0737026E-005
 2.7414648E+000, 7.7556950E+001, 1.6938849E+000, 8.3692917E-005
 2.7497795E+000, 7.3204558E+001, 1.8110219E+000, 7.7308176E-005
 2.7580942E+000, 6.9303099E+001, 1.9333381E+000, 7.1601398E-005
 2.7672404E+000, 6.5459852E+001, 2.0744180E+000, 6.5982921E-005
 2.7763866E+000, 6.2026894E+001, 2.2224253E+000, 6.0964233E-005
 2.7855328E+000, 5.9009030E+001, 2.3744069E+000, 5.6548244E-005
 2.7946790E+000, 5.6288501E+001, 2.5334755E+000, 5.2563692E-005
